historial,tipificaciones,etapas
"Bot: Hola, bienvenido a Toyota. ¿En qué puedo ayudarte? User: Hola, quiero información sobre el Yaris 2024. Bot: Con gusto, el Toyota Yaris 2024 está disponible desde $289,000. ¿Te gustaría agendar una prueba de manejo? User: Sí, me interesa. ¿Qué día tienen disponible? Bot: Tenemos disponibilidad el viernes y sábado. ¿Cuál prefieres? User: El sábado por favor. Bot: Perfecto, queda agendado. ¿Me podrías dar tu nombre y teléfono? User: Juan Pérez, 555-1234. Bot: Listo Juan, te esperamos el sábado.","consulta_precio,auto_nuevo,prueba_manejo",SQL
"Bot: Hola, bienvenido. ¿Cómo puedo ayudarte? User: Quiero saber el precio de la Tacoma. Bot: La Toyota Tacoma tiene un precio desde $650,000. User: ¿Y a meses sin intereses? Bot: Manejamos planes de 12, 24 y 36 meses. ¿Te gustaría una cotización personalizada? User: Sí. Bot: Necesito tu nombre, correo y teléfono. User: María García, maria@email.com, 555-5678. Bot: Gracias María, un asesor te contactará pronto.","consulta_precio,financiamiento,auto_nuevo",MQL
"Bot: Hola, ¿en qué puedo ayudarte? User: Hola, busco un auto seminuevo. Bot: Tenemos varias opciones. ¿Tienes algún modelo en mente? User: Un Corolla o un Yaris. Bot: Actualmente tenemos un Corolla 2022 y un Yaris 2021. ¿Te gustaría verlos? User: Sí, ¿cuánto cuestan? Bot: El Corolla está en $245,000 y el Yaris en $198,000. User: Me interesa el Corolla. ¿Puedo ir a verlo? Bot: Claro, estamos en Av. Reforma 500. ¿Cuándo te gustaría venir? User: Mañana. Bot: Te esperamos.","auto_seminuevo,consulta_precio,visita",Opportunity
"Bot: Hola, bienvenido. ¿Cómo puedo ayudarte? User: Quiero información de autos nuevos. Bot: Con gusto. ¿Qué tipo de vehículo buscas? User: Una SUV. Bot: Tenemos la RAV4, Fortuner y 4Runner. ¿Alguna te interesa? User: ¿Cuánto cuesta la RAV4? Bot: Desde $520,000. ¿Quieres más detalles? User: No gracias, solo era para saber el precio.","consulta_precio,auto_nuevo",Awareness
"Bot: Hola, ¿en qué puedo ayudarte hoy? User: Necesito agendar el servicio de mi auto. Bot: Claro, ¿qué tipo de servicio necesitas? User: Cambio de aceite y revisión general. Bot: ¿Me podrías dar el modelo y año de tu vehículo? User: Hilux 2023. Bot: Perfecto. Tenemos disponibilidad el lunes y miércoles. ¿Cuál prefieres? User: El miércoles. Bot: Agendado. ¿Me das tu nombre? User: Roberto López. Bot: Listo Roberto, te esperamos el miércoles.","postventa,servicio,cita_taller",Ticket en proceso
"Bot: Hola, ¿cómo puedo ayudarte? User: Quiero comprar un Raize. Bot: El Toyota Raize es una excelente opción. Está desde $355,000. User: ¿Tienen financiamiento? Bot: Sí, manejamos crédito automotriz con varias instituciones. User: ¿Cuánto quedaría de mensualidad? Bot: Depende del enganche y plazo. ¿Cuánto piensas dar de enganche? User: No sé, necesito que me digan las opciones. Bot: Para darte una cotización necesito algunos datos. ¿Me los proporcionas? User: No, primero quiero saber las mensualidades sin dar mis datos. Bot: Entiendo, pero para ser precisos necesitamos evaluar tu perfil. User: Ok, lo voy a pensar.","consulta_precio,financiamiento,auto_nuevo,sin_datos",Lead
"Bot: Hola, bienvenido. ¿En qué te ayudo? User: Quiero saber sobre la Hilux. Bot: La Toyota Hilux está disponible desde $498,000. ¿Buscas uso personal o trabajo? User: Para trabajo. ¿Qué versiones tienen? Bot: Tenemos SR, SR5 y Limited. User: Me interesa la SR5. ¿Pueden darme una cotización? Bot: Claro. Necesito tu nombre y contacto. User: Carlos Martínez, 555-9012, carlos@empresa.com. Bot: Gracias Carlos. ¿Cuándo te gustaría visitarnos para una prueba? User: Esta semana si se puede. Bot: Tenemos espacio el jueves. ¿Te parece? User: Perfecto.","auto_nuevo,cotizacion,prueba_manejo",SQL
"Bot: Hola, ¿en qué puedo asistirte? User: Tengo un problema con mi auto, hace un ruido extraño. Bot: Lamento escuchar eso. ¿Podrías describir el ruido? User: Es como un rechinido al frenar. Bot: Puede ser las balatas. ¿Tu vehículo está en garantía? User: Sí, es un Yaris 2024 con 8 meses. Bot: Perfecto, está cubierto. ¿Cuándo puedes traerlo? User: ¿Mañana se puede? Bot: Sí, tráelo a las 9am. ¿Me das tu nombre? User: Ana Torres. Bot: Listo Ana, te esperamos mañana.","postventa,garantia,problema_vehiculo",Ticket creado
"Bot: Hola. ¿Cómo puedo ayudarte? User: ¿Tienen el Prius? Bot: Sí, el Toyota Prius está disponible. ¿Te interesa? User: ¿Cuánto cuesta? Bot: Desde $410,000. User: ¿Y viene híbrido? Bot: Sí, todas las versiones son híbridas. User: Ok, gracias.","consulta_precio,auto_nuevo",Awareness
"Bot: Bienvenido. ¿En qué puedo ayudarte? User: Quiero información sobre los planes de financiamiento para un auto nuevo. Bot: Tenemos varias opciones. ¿Ya tienes un modelo en mente? User: Sí, el Yaris Cross. Bot: Excelente elección. ¿Cuánto piensas dar de enganche? User: Un 20%. Bot: Con 20% de enganche en un Yaris Cross, las mensualidades quedarían aproximadamente en $6,500 a 48 meses. User: Eso está bien. ¿Qué necesito para el trámite? Bot: INE, comprobante de domicilio, últimos 3 recibos de nómina. User: Perfecto, paso mañana con los documentos. Bot: Te esperamos. ¿Me das tu nombre? User: Luis Hernández. Bot: Gracias Luis.","financiamiento,auto_nuevo,documentacion",SQL
